UNIT FILE                                  STATE          
accounts-daemon.service                    enabled        
acpid.service                              disabled       
alsa-restore.service                       static         
alsa-state.service                         static         
alsa-utils.service                         masked         
anacron.service                            enabled        
apache-htcacheclean.service                disabled       
apache-htcacheclean@.service               disabled       
apache2.service                            enabled        
apache2@.service                           disabled       
apparmor.service                           enabled        
apport-autoreport.service                  static         
apport-forward@.service                    static         
apport.service                             generated      
apt-daily-upgrade.service                  static         
apt-daily.service                          static         
autovt@.service                            enabled        
avahi-daemon.service                       enabled        
bluetooth.service                          enabled        
bootlogd.service                           masked         
bootlogs.service                           masked         
bootmisc.service                           masked         
checkfs.service                            masked         
checkroot-bootclean.service                masked         
checkroot.service                          masked         
clean-mount-point@.service                 static         
console-getty.service                      disabled       
console-setup.service                      enabled        
container-getty@.service                   static         
cpufreqd.service                           generated      
cpufrequtils.service                       generated      
cron.service                               enabled        
cryptdisks-early.service                   masked         
cryptdisks.service                         masked         
cups.service                               enabled        
dbus-fi.w1.wpa_supplicant1.service         enabled        
dbus-org.bluez.service                     enabled        
dbus-org.freedesktop.Avahi.service         enabled        
dbus-org.freedesktop.hostname1.service     static         
dbus-org.freedesktop.locale1.service       static         
dbus-org.freedesktop.login1.service        static         
dbus-org.freedesktop.ModemManager1.service enabled        
dbus-org.freedesktop.nm-dispatcher.service enabled        
dbus-org.freedesktop.resolve1.service      enabled        
dbus-org.freedesktop.timedate1.service     static         
dbus.service                               static         
debug-shell.service                        disabled       
dhcpcd.service                             generated      
display-manager.service                    indirect       
emergency.service                          static         
fancontrol.service                         enabled        
friendly-recovery.service                  static         
fstrim.service                             static         
fuse.service                               masked         
fwupd-offline-update.service               static         
fwupd.service                              static         
getscreen.me.service                       enabled        
getty-static.service                       static         
getty@.service                             enabled        
gpu-manager.service                        enabled        
grub-common.service                        generated      
halt.service                               masked         
hostname.service                           masked         
hwclock.service                            masked         
initrd-cleanup.service                     static         
initrd-parse-etc.service                   static         
initrd-switch-root.service                 static         
initrd-udevadm-cleanup-db.service          static         
irqbalance.service                         enabled        
kerneloops.service                         enabled        
keyboard-setup.service                     enabled        
killprocs.service                          masked         
kmod-static-nodes.service                  static         
kmod.service                               static         
lightdm.service                            indirect       
lm-sensors.service                         enabled        
loadcpufreq.service                        generated      
ModemManager.service                       enabled        
module-init-tools.service                  static         
motd-news.service                          static         
motd.service                               masked         
mountall-bootclean.service                 masked         
mountall.service                           masked         
mountdevsubfs.service                      masked         
mountkernfs.service                        masked         
mountnfs-bootclean.service                 masked         
mountnfs.service                           masked         
mysql.service                              enabled        
network-manager.service                    enabled        
networkd-dispatcher.service                enabled        
NetworkManager-dispatcher.service          enabled        
NetworkManager-wait-online.service         enabled        
NetworkManager.service                     enabled        
ondemand.service                           enabled        
packagekit-offline-update.service          static         
packagekit.service                         static         
phpsessionclean.service                    static         
plymouth-halt.service                      static         
plymouth-kexec.service                     static         
plymouth-log.service                       static         
plymouth-poweroff.service                  static         
plymouth-quit-wait.service                 static         
plymouth-quit.service                      static         
plymouth-read-write.service                static         
plymouth-reboot.service                    static         
plymouth-start.service                     static         
plymouth-switch-root.service               static         
plymouth.service                           static         
polkit.service                             static         
pppd-dns.service                           enabled        
procps.service                             static         
quotaon.service                            static         
rc-local.service                           static         
rc.local.service                           static         
rc.service                                 masked         
rcS.service                                masked         
reboot.service                             masked         
rescue.service                             static         
rmnologin.service                          masked         
rsync.service                              enabled        
rsyslog.service                            enabled        
saned.service                              masked         
saned@.service                             indirect       
sendsigs.service                           masked         
serial-getty@.service                      disabled       
setvtrgb.service                           enabled        
single.service                             masked         
stop-bootlogd-single.service               masked         
stop-bootlogd.service                      masked         
sudo.service                               masked         
suspend-sedation.service                   disabled       
syslog.service                             enabled        
sysstat.service                            enabled        
system-update-cleanup.service              static         
systemd-ask-password-console.service       static         
systemd-ask-password-plymouth.service      static         
systemd-ask-password-wall.service          static         
systemd-backlight@.service                 static         
systemd-binfmt.service                     static         
systemd-exit.service                       static         
systemd-fsck-root.service                  enabled-runtime
systemd-fsck@.service                      static         
systemd-fsckd.service                      static         
systemd-halt.service                       static         
systemd-hibernate-resume@.service          static         
systemd-hibernate.service                  static         
systemd-hostnamed.service                  static         
systemd-hwdb-update.service                static         
systemd-hybrid-sleep.service               static         
systemd-initctl.service                    static         
systemd-journal-flush.service              static         
systemd-journald.service                   static         
systemd-kexec.service                      static         
systemd-localed.service                    static         
systemd-logind.service                     static         
systemd-machine-id-commit.service          static         
systemd-modules-load.service               static         
systemd-networkd-wait-online.service       disabled       
systemd-networkd.service                   disabled       
systemd-poweroff.service                   static         
systemd-quotacheck.service                 static         
systemd-random-seed.service                static         
systemd-reboot.service                     static         
systemd-remount-fs.service                 static         
systemd-resolved.service                   enabled        
systemd-rfkill.service                     masked         
systemd-suspend-then-hibernate.service     static         
systemd-suspend.service                    static         
systemd-sysctl.service                     static         
systemd-timedated.service                  static         
systemd-timesyncd.service                  enabled        
systemd-tmpfiles-clean.service             static         
systemd-tmpfiles-setup-dev.service         static         
systemd-tmpfiles-setup.service             static         
systemd-udev-settle.service                static         
systemd-udev-trigger.service               static         
systemd-udevd.service                      static         
systemd-update-utmp-runlevel.service       static         
systemd-update-utmp.service                static         
systemd-user-sessions.service              static         
systemd-volatile-root.service              static         
tlp-sleep.service                          enabled        
tlp.service                                enabled        
tor.service                                enabled        
tor@.service                               disabled       
tor@default.service                        enabled-runtime
udev.service                               static         
udisks2.service                            enabled        
ufw.service                                enabled        
umountfs.service                           masked         
umountnfs.service                          masked         
umountroot.service                         masked         
upower.service                             disabled       
urandom.service                            static         
ureadahead-stop.service                    static         
ureadahead.service                         enabled        
usb_modeswitch@.service                    static         
user@.service                              static         
uuidd.service                              indirect       
vnstat.service                             enabled        
vnstatd.service                            enabled        
whoopsie.service                           enabled        
wpa_supplicant-wired@.service              disabled       
wpa_supplicant.service                     enabled        
wpa_supplicant@.service                    disabled       
x11-common.service                         masked         

206 unit files listed.
